supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,annual_drought_probabiltiy
The Hain Celestial Group,Hain Celestial Canada HQ,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = 0.04; drought frequency (SPEI-3 < -1.0) = 16.4%; recent mean (2015-2025) = -0.001; trend delta = -0.041.,16.4%
The Hain Celestial Group,Mississauga Facility,Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 16.4% of months with SPEI-3 < -1.0 (mean SPEI-3 = 0.04). SPEI-3 data: baseline mean (1990-2020) = 0.04; drought frequency (SPEI-3 < -1.0) = 16.4%; recent mean (2015-2025) = -0.001; trend delta = -0.041.,16.4%
The Hain Celestial Group,Hain Daniels (Fakenham),Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 21.0% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.077). SPEI-3 data: baseline mean (1990-2020) = -0.077; drought frequency (SPEI-3 < -1.0) = 21.0%; recent mean (2015-2025) = -0.12; trend delta = -0.043.,21.0%
The Hain Celestial Group,Hain Daniels (Histon),Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 21.0% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.077). SPEI-3 data: baseline mean (1990-2020) = -0.077; drought frequency (SPEI-3 < -1.0) = 21.0%; recent mean (2015-2025) = -0.12; trend delta = -0.043.,21.0%
The Hain Celestial Group,Fresh Innovation Centre,Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 20.7% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.053). SPEI-3 data: baseline mean (1990-2020) = -0.053; drought frequency (SPEI-3 < -1.0) = 20.7%; recent mean (2015-2025) = 0.014; trend delta = +0.067.,20.7%
The Hain Celestial Group,Ella’s Kitchen HQ,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.053; drought frequency (SPEI-3 < -1.0) = 20.7%; recent mean (2015-2025) = 0.014; trend delta = +0.067.,20.7%
The Hain Celestial Group,Natumi GmbH,Drought,High,High,High,Baseline,Historical drought frequency (1990-2020): 22.0% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.18). Facility handles water-intensive processes; drought conditions elevate supply chain and operational risk. SPEI-3 data: baseline mean (1990-2020) = -0.18; drought frequency (SPEI-3 < -1.0) = 22.0%; recent mean (2015-2025) = -0.324; trend delta = -0.144.,22.0%
The Hain Celestial Group,Mona Naturprodukte (Joya),Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 17.2% of months with SPEI-3 < -1.0 (mean SPEI-3 = 0.065). SPEI-3 data: baseline mean (1990-2020) = 0.065; drought frequency (SPEI-3 < -1.0) = 17.2%; recent mean (2015-2025) = -0.042; trend delta = -0.107.,17.2%
The Hain Celestial Group,Cully & Sully,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = 0.117; drought frequency (SPEI-3 < -1.0) = 14.8%; recent mean (2015-2025) = 0.543; trend delta = +0.426.,14.8%
The Hain Celestial Group,Yorkshire Provender,Drought,Low,High,High,Baseline,Historical drought frequency (1990-2020): 14.8% of months with SPEI-3 < -1.0 (mean SPEI-3 = 0.209). SPEI-3 data: baseline mean (1990-2020) = 0.209; drought frequency (SPEI-3 < -1.0) = 14.8%; recent mean (2015-2025) = 0.634; trend delta = +0.425.,14.8%
ZURU LLC.,ZURU Global HQ,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.307; drought frequency (SPEI-3 < -1.0) = 28.0%; recent mean (2015-2025) = -1.081; trend delta = -0.774.,28.0%
ZURU LLC.,ZURU US Flagship Campus,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.298; drought frequency (SPEI-3 < -1.0) = 25.8%; recent mean (2015-2025) = -0.56; trend delta = -0.262.,25.8%
ZURU LLC.,ZURU Shenzhen Hub,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.307; drought frequency (SPEI-3 < -1.0) = 28.0%; recent mean (2015-2025) = -1.081; trend delta = -0.774.,28.0%
ZURU LLC.,ZURU Huizhou Smart Factory,Drought,High,High,High,Baseline,Historical drought frequency (1990-2020): 23.1% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.118). SPEI-3 data: baseline mean (1990-2020) = -0.118; drought frequency (SPEI-3 < -1.0) = 23.1%; recent mean (2015-2025) = -0.063; trend delta = +0.055.,23.1%
ZURU LLC.,ZURU Guangzhou Plant,Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 20.2% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.063). SPEI-3 data: baseline mean (1990-2020) = -0.063; drought frequency (SPEI-3 < -1.0) = 20.2%; recent mean (2015-2025) = 0.018; trend delta = +0.081.,20.2%
ZURU LLC.,ZURU New Zealand HQ,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.06; drought frequency (SPEI-3 < -1.0) = 16.9%; recent mean (2015-2025) = -0.177; trend delta = -0.117.,16.9%
ZURU LLC.,ZURU Tech Italy (Modena),Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.034; drought frequency (SPEI-3 < -1.0) = 15.9%; recent mean (2015-2025) = -0.182; trend delta = -0.148.,15.9%
ZURU LLC.,ZURU Tech India (Ahmedabad),Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.194; drought frequency (SPEI-3 < -1.0) = 21.2%; recent mean (2015-2025) = -0.284; trend delta = -0.090.,21.2%
ZURU LLC.,ZURU Tech India (Kolkata),Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = 0.062; drought frequency (SPEI-3 < -1.0) = 16.9%; recent mean (2015-2025) = -0.065; trend delta = -0.127.,16.9%
ZURU LLC.,ZURU Bentonville Office,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = 0.152; drought frequency (SPEI-3 < -1.0) = 13.2%; recent mean (2015-2025) = 0.397; trend delta = +0.245.,13.2%
ZURU LLC.,ZURU Tech Italy (Milan),Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.394; drought frequency (SPEI-3 < -1.0) = 31.7%; recent mean (2015-2025) = -0.686; trend delta = -0.292.,31.7%
ZURU LLC.,ZURU Dongguan Tech Center,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.063; drought frequency (SPEI-3 < -1.0) = 20.2%; recent mean (2015-2025) = 0.018; trend delta = +0.081.,20.2%
John Paul Mitchell Systems,Global Headquarters,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.253; drought frequency (SPEI-3 < -1.0) = 23.7%; recent mean (2015-2025) = -0.369; trend delta = -0.116.,23.7%
John Paul Mitchell Systems,JPMS Creative Center,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.253; drought frequency (SPEI-3 < -1.0) = 23.7%; recent mean (2015-2025) = -0.369; trend delta = -0.116.,23.7%
John Paul Mitchell Systems,Santa Clarita DC,Drought,High,High,High,Baseline,Historical drought frequency (1990-2020): 23.7% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.253). Facility handles water-intensive processes; drought conditions elevate supply chain and operational risk. SPEI-3 data: baseline mean (1990-2020) = -0.253; drought frequency (SPEI-3 < -1.0) = 23.7%; recent mean (2015-2025) = -0.369; trend delta = -0.116.,23.7%
John Paul Mitchell Systems,The Awapuhi Farm,Drought,Very High,High,High,Baseline,Historical drought frequency (1990-2020): 30.6% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.354). Facility handles water-intensive processes; drought conditions elevate supply chain and operational risk. SPEI-3 data: baseline mean (1990-2020) = -0.354; drought frequency (SPEI-3 < -1.0) = 30.6%; recent mean (2015-2025) = -1.419; trend delta = -1.065.,30.6%
John Paul Mitchell Systems,JPMS UK (Salon Success),Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.008; drought frequency (SPEI-3 < -1.0) = 19.1%; recent mean (2015-2025) = 0.115; trend delta = +0.123.,19.1%
John Paul Mitchell Systems,JPMS European Hub,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.247; drought frequency (SPEI-3 < -1.0) = 24.7%; recent mean (2015-2025) = -0.433; trend delta = -0.186.,24.7%
John Paul Mitchell Systems,Pro-motive (Subsidiary),Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.253; drought frequency (SPEI-3 < -1.0) = 23.7%; recent mean (2015-2025) = -0.369; trend delta = -0.116.,23.7%
John Paul Mitchell Systems,Distribution Center East,Drought,Low,High,High,Baseline,Historical drought frequency (1990-2020): 13.4% of months with SPEI-3 < -1.0 (mean SPEI-3 = 0.155). SPEI-3 data: baseline mean (1990-2020) = 0.155; drought frequency (SPEI-3 < -1.0) = 13.4%; recent mean (2015-2025) = 0.263; trend delta = +0.108.,13.4%
Natural Organics Inc.,Global Headquarters,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.016; drought frequency (SPEI-3 < -1.0) = 16.4%; recent mean (2015-2025) = -0.222; trend delta = -0.206.,16.4%
Natural Organics Inc.,Melville Manufacturing,Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 16.4% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.016). SPEI-3 data: baseline mean (1990-2020) = -0.016; drought frequency (SPEI-3 < -1.0) = 16.4%; recent mean (2015-2025) = -0.222; trend delta = -0.206.,16.4%
Natural Organics Inc.,The Pharma-Lab,Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 16.4% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.016). SPEI-3 data: baseline mean (1990-2020) = -0.016; drought frequency (SPEI-3 < -1.0) = 16.4%; recent mean (2015-2025) = -0.222; trend delta = -0.206.,16.4%
Natural Organics Inc.,Melville Distribution,Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 16.4% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.016). SPEI-3 data: baseline mean (1990-2020) = -0.016; drought frequency (SPEI-3 < -1.0) = 16.4%; recent mean (2015-2025) = -0.222; trend delta = -0.206.,16.4%
Natural Organics Inc.,Amityville Facility,Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 16.4% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.016). SPEI-3 data: baseline mean (1990-2020) = -0.016; drought frequency (SPEI-3 < -1.0) = 16.4%; recent mean (2015-2025) = -0.222; trend delta = -0.206.,16.4%
Natural Organics Inc.,Nature’s Plus UK,Drought,Medium,High,High,Baseline,Historical drought frequency (1990-2020): 20.7% of months with SPEI-3 < -1.0 (mean SPEI-3 = -0.053). SPEI-3 data: baseline mean (1990-2020) = -0.053; drought frequency (SPEI-3 < -1.0) = 20.7%; recent mean (2015-2025) = 0.014; trend delta = +0.067.,20.7%
Natural Organics Inc.,Euro-Nutrition Hub,Drought,Negligible,High,High,Baseline,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect business operations at this site. SPEI-3 data: baseline mean (1990-2020) = -0.039; drought frequency (SPEI-3 < -1.0) = 19.9%; recent mean (2015-2025) = -0.253; trend delta = -0.214.,19.9%
